"Name","outer_fold_accuracy","State","Runtime","data_name","fold","k_inner_folds","model","search_type","C","max_iter","random_state","solver","colsample_bytree","eta","eval_metric","gamma","max_depth","min_child_weight","n_estimators","num_class","objective","reg_alpha","reg_lambda","subsample","accuracy_group_113922","accuracy_group_191033","accuracy_group_353740","accuracy_group_667056","accuracy_group_707749","accuracy_group_814649","accuracy_group_891667","accuracy_group_898176","f1_class_0.0","f1_class_1.0","f1_class_2.0","f1_class_3.0","f1_class_4.0","f1_class_5.0","f1_class_6.0","f1_class_macro avg","f1_class_weighted avg","precision_class_0.0","precision_class_1.0","precision_class_2.0","precision_class_3.0","precision_class_4.0","precision_class_5.0","precision_class_6.0","precision_class_macro avg","precision_class_weighted avg","recall_class_0.0","recall_class_1.0","recall_class_2.0","recall_class_3.0","recall_class_4.0","recall_class_5.0","recall_class_6.0","recall_class_macro avg","recall_class_weighted avg","accuracy_group_105923","accuracy_group_106521","accuracy_group_108323","accuracy_group_109123","accuracy_group_116726","accuracy_group_133019","accuracy_group_140117","accuracy_group_156334","accuracy_group_162026","accuracy_group_162935","accuracy_group_164636","accuracy_group_169040","accuracy_group_175237","accuracy_group_177746","accuracy_group_185442","accuracy_group_191437","accuracy_group_192641","accuracy_group_198653","accuracy_group_204521","accuracy_group_205119","accuracy_group_212318","accuracy_group_212823","accuracy_group_255639","accuracy_group_257845","accuracy_group_283543","accuracy_group_293748","accuracy_group_358144","accuracy_group_406836","accuracy_group_568963","accuracy_group_581450","accuracy_group_599671","accuracy_group_601127","accuracy_group_660951","accuracy_group_662551","accuracy_group_679770","accuracy_group_680957","accuracy_group_706040","accuracy_group_725751","accuracy_group_735148","accuracy_group_783462"
"LogisticRegression_Fold_6_HCP_C3_dataset","0.2555434387495456","finished","149","HCP_C3_dataset","6","5","LogisticRegression","grid","0.1","2000","714","lbfgs","","","","","","","","","","","","","","","","","","","","","0.23151909017059305","0.32476802284082795","0.13789359391965256","0.3070831500219974","0.353643216080402","0.11080022383883605","0.21428571428571427","0.2399990015940033","0.2401823098185468","0.21412471825694968","0.28688524590163933","0.2015873015873016","0.31160714285714286","0.2856418061897514","0.16694772344013492","0.22602739726027396","0.24183161935617056","0.2419445682529915","0.2519893899204244","0.37417763157894735","0.1047854785478548","0.3026886383347788","0.4641384995877989","0.0829145728643216","0.2037037037037037","0.2549139877911185","0.2555434387495456","","","","","","","","","0.3109815354713314","","","0.24627606752730885","0.23308270676691728","","","","","","","","0.2048643592142189","","","","","","","0.3007662835249042","0.2783400809716599","","","","0.29133858267716534","","","","","","0.18243243243243243",""
"LogisticRegression_Fold_5_HCP_C3_dataset","0.24277737314882253","finished","147","HCP_C3_dataset","5","5","LogisticRegression","grid","0.1","2000","714","lbfgs","","","","","","","","","","","","","","","","","","","","","0.23962655601659752","0.3049458589405912","0.15984015984015984","0.2765432098765432","0.3070283600493218","0.11381149970361588","0.17873303167420815","0.2257898108715768","0.22660875785766263","0.29240506329113924","0.23800822293284604","0.19900497512437812","0.25846153846153846","0.24825523429710863","0.1893491124260355","0.2461059190031153","0.23879858079088015","0.2383330609331688","0.20298769771529","0.4242671009771987","0.1335559265442404","0.2973451327433628","0.4022617124394184","0.08135593220338982","0.14031971580817051","0.24029903120443868","0.24277737314882253","","","0.22837706511175895","","","","","","","","","","","","0.24709302325581395","","","0.31190926275992437","","","","0.3074656188605108","0.20747663551401868","","","","0.2355175688509022","","","","","0.23260437375745527","","","","","","","","0.16769547325102882"
"LogisticRegression_Fold_4_HCP_C3_dataset","0.23375517157459236","finished","167","HCP_C3_dataset","4","5","LogisticRegression","grid","1","2000","714","lbfgs","","","","","","","","","","","","","","","","","","","","","0.19910011248593928","0.21047619047619048","0.1518987341772152","0.29811715481171547","0.316795295847115","0.2116496220542463","0.1497076023391813","0.21967781602737185","0.21941286675198896","0.2735703245749614","0.2528604118993135","0.1904761904761905","0.2081811541271001","0.2854304635761589","0.2337917485265226","0.20915032679738563","0.23620865999680463","0.2365342812549736","0.15649867374005305","0.1802610114192496","0.1263157894736842","0.5248618784530387","0.35590421139554085","0.1933387489845654","0.11657559198542804","0.23625084363593715","0.23375517157459236","0.18070009460737935","0.1936444885799404","","","","","","0.33767441860465114","","0.20329138431752175","","","","0.3087378640776699","","","","","","0.18242597898758356","","","","","","","","","","","","","","","","0.20923379174852652","0.25236593059936907","","",""
"LogisticRegression_Fold_3_HCP_C3_dataset","0.26592395253087914","finished","156","HCP_C3_dataset","3","5","LogisticRegression","grid","0.1","2000","714","lbfgs","","","","","","","","","","","","","","","","","","","","","0.30118694362017806","0.3128032848077641","0.1061742642815926","0.31994156318480643","0.3321204101885544","0.16348773841961853","0.2086092715231788","0.2491890680036704","0.24874732238707617","0.25925925925925924","0.29239357990230286","0.18003913894324852","0.2744360902255639","0.27658402203856747","0.23622047244094488","0.2692307692307692","0.2554519045772366","0.25516147078534185","0.35929203539823007","0.3362760834670947","0.07528641571194762","0.38353765323992994","0.4155629139072848","0.125","0.17027027027027028","0.2664607674278225","0.26592395253087914","","","","","0.3131707317073171","0.1887705711519845","","","","","0.24349442379182157","","","","","","0.25146771037182","","","","","","","","","0.23714285714285716","","","","","0.2845691382765531","","","","0.3696682464454976","","","0.23823823823823825","",""
"LogisticRegression_Fold_2_HCP_C3_dataset","0.2793654637926859","finished","148","HCP_C3_dataset","2","5","LogisticRegression","grid","0.1","2000","714","lbfgs","","","","","","","","","","","","","","","","","","","","","0.2723609991941982","0.36429872495446264","0.10787011557512384","0.3479599692070824","0.3696969696969697","0.13530415008527572","0.2201453790238837","0.2596623296767137","0.2588544948828317","0.2524271844660194","0.28999516674722087","0.16470588235294115","0.29953611663353213","0.3468372423596304","0.21834862385321105","0.26700251889168763","0.26269324790060605","0.26231607785563443","0.29571303587051617","0.4897959183673469","0.08019639934533551","0.4150596877869605","0.3957826439578264","0.09802306425041186","0.1872791519434629","0.28026427164598006","0.2793654637926859","","","","0.3419047619047619","","","0.2567703109327984","","","","","","","","","0.23191094619666047","","","0.26452905811623245","","","","","0.3168604651162791","0.20155793573515093","","","","","0.31499051233396586","","","","0.30528375733855184","","","","","",""
"LogisticRegression_Fold_1_HCP_C3_dataset","0.25734214390602056","finished","166","HCP_C3_dataset","1","5","LogisticRegression","grid","0.1","2000","714","lbfgs","","","","","","","","","","","","","0.2584053794428434","0.32807881773399017","0.2634146341463415","0.2512315270935961","0.21690767519466073","0.19183285849952517","0.2365988909426987","0.30998080614203455","0.2434705621956618","0.3114534494306765","0.1446039340776183","0.32971150243536906","0.3523465703971119","0.15745568300312826","0.15905427189682966","0.24258513906234225","0.2432633019026495","0.22916666666666663","0.2667814113597246","0.2082695252679939","0.2844214608920491","0.3166774821544452","0.21852387843704776","0.18569636135508155","0.24421954087614411","0.2452372740286332","0.25967894239848915","0.37409493161705554","0.11074918566775244","0.392156862745098","0.39707078925956063","0.1230643846780766","0.13909774436090225","0.25655897724670496","0.25734214390602056","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LogisticRegression_Fold_6_HCP_C2_dataset","0.26341936265600385","finished","269","HCP_C2_dataset","6","5","LogisticRegression","grid","1","2000","714","lbfgs","","","","","","","","","","","","","","","","","","","","","0.24979854955680905","0.3043968432919955","0.1903807615230461","0.2900355871886121","0.3537278502173186","0.14846691769768694","0.24327897752313796","0.25429792671408663","0.25445789149910375","0.229459659511473","0.28027681660899656","0.2423469387755102","0.29771689497716897","0.297525309336333","0.2075187969924812","0.2431718061674009","0.25685946033848056","0.25708954630273073","0.27409372236958446","0.33305921052631576","0.15676567656765678","0.28274067649609713","0.4361088211046991","0.11557788944723618","0.24338624338624337","0.26310460569969035","0.26341936265600385","","","","","","","","","0.3206997084548105","","","0.2641509433962264","0.212406015037594","","","","","","","","0.21702525724976612","","","","","","","0.3065134099616858","0.3188259109311741","","","","0.2874015748031496","","","","","","0.18629343629343628",""
"LogisticRegression_Fold_5_HCP_C2_dataset","0.23792182568584608","finished","277","HCP_C2_dataset","5","5","LogisticRegression","grid","1","2000","714","lbfgs","","","","","","","","","","","","","","","","","","","","","0.21286031042128603","0.2886002886002886","0.16666666666666666","0.2757432141318397","0.30759371996155077","0.13427947598253276","0.1852450188476037","0.22442695637310975","0.22526455262083195","0.2882882882882883","0.22351363433169424","0.1970387243735763","0.2686817800167926","0.2549123738714817","0.18865030674846625","0.2352941176470588","0.2366256036110512","0.23614222815447747","0.1687170474516696","0.4071661237785016","0.14440734557595994","0.2831858407079646","0.3877221324717286","0.1042372881355932","0.152753108348135","0.23545555520993608","0.23792182568584608","","","0.22351797862001943","","","","","","","","","","","","0.21996124031007752","","","0.31474480151228734","","","","0.26620825147347743","0.24205607476635513","","","","0.23266856600189936","","","","","0.2216699801192843","","","","","","","","0.1769547325102881"
"LogisticRegression_Fold_4_HCP_C2_dataset","0.237162326600146","finished","276","HCP_C2_dataset","4","5","LogisticRegression","grid","1","2000","714","lbfgs","","","","","","","","","","","","","","","","","","","","","0.22955974842767296","0.2154415164123902","0.14945919370698132","0.28920344157646405","0.32100488485694345","0.2018518518518519","0.17156286721504113","0.22544050057819215","0.22487381233474735","0.28185328185328185","0.2486659551760939","0.1902377972465582","0.2069924513309495","0.27794561933534745","0.23466092572658773","0.24172185430463575","0.24029684071049348","0.24023464896299457","0.19363395225464192","0.1900489396411093","0.12307692307692308","0.47974217311233885","0.379851362510322","0.17709179528838342","0.13296903460837886","0.2394877400702997","0.237162326600146","0.18637653736991489","0.17576961271102284","","","","","","0.3023255813953488","","0.2197483059051307","","","","0.3087378640776699","","","","","","0.2005730659025788","","","","","","","","","","","","","","","","0.25245579567779963","0.2502628811777077","","",""
"LogisticRegression_Fold_3_HCP_C2_dataset","0.282877209978203","finished","266","HCP_C2_dataset","3","5","LogisticRegression","grid","1","2000","714","lbfgs","","","","","","","","","","","","","","","","","","","","","0.32411375146084925","0.30707716913234706","0.14842498665242926","0.3180987202925046","0.33776223776223774","0.20708446866485017","0.26946386946386947","0.27314645763272677","0.272358174482014","0.2894919972164231","0.30597609561752986","0.21351766513056836","0.2730696798493409","0.2923728813559322","0.2992125984251969","0.2792270531400966","0.27898113867644114","0.2789198257380978","0.368141592920354","0.30818619582664525","0.11374795417348608","0.3809106830122592","0.39983443708609273","0.15833333333333333","0.26036036036036037","0.2842163652446473","0.282877209978203","","","","","0.30146341463414633","0.19070667957405615","","","","","0.26765799256505574","","","","","","0.2710371819960861","","","","","","","","","0.26095238095238094","","","","","0.3066132264529058","","","","0.4132701421800948","","","0.24924924924924924","",""
